transaction_id,customer_id,kyc_verified,account_age_days,transaction_amount,channel,timestamp,is_fraud,kyc_verified_flag,hour,weekday
TXN_201022,CUST_566,Yes,2348,7507.0,Web,2025-08-09 13:14:11,0,1,13,5
TXN_200504,CUST_386,No,1861,228746.0,Mobile,2025-08-08 17:33:54,0,0,17,4
TXN_202456,CUST_187,Yes,1325,10559.0,Web,2025-08-12 03:08:09,0,1,3,1
TXN_203471,CUST_760,Yes,1564,61178.0,Mobile,2025-08-16 04:44:04,0,1,4,5
TXN_201595,CUST_554,Yes,1769,10300.0,Atm,2025-08-16 14:35:20,0,1,14,5
TXN_204183,CUST_324,No,669,22467.0,Pos,2025-08-21 09:26:36,0,0,9,3
TXN_202411,CUST_546,Yes,869,5663.0,Mobile,2025-08-14 18:42:50,0,1,18,3
TXN_201500,CUST_462,No,1822,13109.0,Pos,2025-08-15 04:42:00,0,0,4,4
TXN_200010,CUST_526,Yes,1398,69506.0,Mobile,2025-08-23 03:36:52,0,1,3,5
TXN_203389,CUST_174,Yes,2084,61232.0,Mobile,2025-08-05 17:43:11,0,1,17,1
TXN_201546,CUST_572,Yes,2843,7873.0,Atm,2025-08-20 23:43:50,0,1,23,2
TXN_200520,CUST_145,Yes,1433,5507.0,Pos,2025-08-19 16:07:00,0,1,16,1
TXN_201107,CUST_236,No,1955,10284.0,Atm,2025-08-09 13:43:08,1,0,13,5
TXN_201352,CUST_795,Yes,2508,4363.0,Web,2025-08-09 10:40:25,0,1,10,5
TXN_200753,CUST_613,Yes,2772,5561.0,Mobile,2025-08-13 09:29:41,0,1,9,2
TXN_200875,CUST_608,Yes,1247,7633.0,Web,2025-08-19 14:24:48,0,1,14,1
TXN_204433,CUST_722,Yes,2331,3533.0,Mobile,2025-08-25 23:04:53,0,1,23,0
TXN_203978,CUST_759,Yes,1150,9880.0,Mobile,2025-08-16 07:27:44,0,1,7,5
TXN_204382,CUST_697,Yes,2163,140210.0,Pos,2025-08-22 05:11:16,0,1,5,4
TXN_201079,CUST_289,Yes,2360,11333.0,Web,2025-08-16 20:33:27,0,1,20,5
TXN_202443,CUST_723,Yes,1244,3111.0,Web,2025-08-12 10:07:28,0,1,10,1
TXN_202892,CUST_104,Yes,183,3898.0,Mobile,2025-08-22 13:27:13,0,1,13,4
TXN_203757,CUST_155,Yes,2799,3753.0,Atm,2025-08-10 14:04:12,0,1,14,6
TXN_200653,CUST_299,Yes,2661,3082.0,Pos,2025-08-15 11:06:51,0,1,11,4
TXN_201983,CUST_719,Yes,1614,7333.0,Web,2025-08-11 14:58:30,0,1,14,0
TXN_204825,CUST_212,Yes,2216,3109.0,Mobile,2025-08-04 17:29:18,0,1,17,0
TXN_204014,CUST_637,Yes,2455,8958.0,Mobile,2025-08-19 01:59:37,0,1,1,1
TXN_200516,CUST_563,No,937,8954.0,Mobile,2025-08-18 01:38:55,0,0,1,0
TXN_201168,CUST_419,No,2928,7471.0,Mobile,2025-08-18 21:15:16,0,0,21,0
TXN_202085,CUST_707,Yes,2904,13197.0,Mobile,2025-08-21 05:54:44,0,1,5,3
TXN_204000,CUST_461,Yes,2390,12436.0,Mobile,2025-08-05 13:03:50,0,1,13,1
TXN_202780,CUST_697,Yes,896,4408.0,Mobile,2025-08-13 20:01:00,0,1,20,2
TXN_202450,CUST_671,Yes,2902,11772.0,Mobile,2025-08-17 12:43:09,0,1,12,6
TXN_203340,CUST_400,No,1628,98391.0,Web,2025-08-25 10:17:49,0,0,10,0
TXN_204173,CUST_119,No,2773,8881.0,Web,2025-08-18 18:52:19,0,0,18,0
TXN_200984,CUST_134,Yes,328,3925.0,Mobile,2025-08-01 07:54:44,0,1,7,4
TXN_204349,CUST_504,Yes,415,5079.0,Pos,2025-08-18 15:33:40,0,1,15,0
TXN_200274,CUST_223,Yes,203,15349.0,Atm,2025-08-17 08:56:55,0,1,8,6
TXN_203010,CUST_278,Yes,1180,9179.0,Mobile,2025-08-16 14:16:47,0,1,14,5
TXN_202996,CUST_564,No,2485,3824.0,Mobile,2025-08-18 09:27:51,0,0,9,0
TXN_202165,CUST_170,Yes,757,74901.0,Atm,2025-08-19 21:45:09,0,1,21,1
TXN_200586,CUST_648,Yes,1113,19604.0,Web,2025-08-19 17:52:18,0,1,17,1
TXN_204867,CUST_116,Yes,1646,5524.0,Mobile,2025-08-23 00:23:52,0,1,0,5
TXN_204052,CUST_790,No,881,19275.0,Pos,2025-08-10 14:02:26,0,0,14,6
TXN_202826,CUST_141,No,1084,30109.0,Pos,2025-08-12 01:30:56,1,0,1,1
